AÇUCENA;40096
ABADIA DOS DOURADOS;40010
ABAETÉ;40037
ABRE CAMPO;40053
ACAIACA;40070
AGUA BOA;40118
AGUA COMPRIDA;40134
AGUANIL;40150
AGUAS FORMOSAS;40177
AGUAS VERMELHAS;40193
AIMORÉS;40215
AIURUOCA;40231
ALÉM PARAÍBA;40290
ALAGOA;40258
ALBERTINA;40274
ALFENAS;40312
ALFREDO VASCONCELOS;40002
ALMENARA;40339
ALPERCATA;40355
ALPINÓPOLIS;40371
ALTEROSA;40398
ALTO CAPARAÓ;41661
ALTO JEQUITIBÁ;50695
ALTO RIO DOCE;40410
ALVARENGA;40436
ALVINÓPOLIS;40452
ALVORADA DE MINAS;40479
AMPARO DO SERRA;40495
ANDRADAS;40517
ANDRELÂNDIA;40550
ANGELÂNDIA;41688
ANTÔNIO CARLOS;40576
ANTÔNIO DIAS;40592
ANTÔNIO PRADO DE MINAS;40614
ARAÇAÍ;40630
ARAÇUAÍ;40673
ARAÚJOS;40770
ARACITABA;40657
ARAGUARI;40690
ARANTINA;40711
ARAPONGA;40738
ARAPORÃ;40029
ARAPUÁ;40754
ARAXÁ;40797
ARCEBURGO;40819
ARCOS;40835
AREADO;40851
ARGIRITA;40878
ARICANDUVA;41700
ARINOS;40894
ASTOLFO DUTRA;40916
ATALÉIA;40932
AUGUSTO DE LIMA;40959
BAEPENDI;40975
BALDIM;40991
BAMBUÍ;41017
BANDEIRA DO SUL;41050
BANDEIRA;41033
BARÃO DE COCAIS;41076
BARÃO DE MONTE ALTO;41092
BARBACENA;41114
BARRA LONGA;41130
BARROSO;41173
BELA VISTA DE MINAS;41190
BELMIRO BRAGA;41211
BELO HORIZONTE;41238
BELO ORIENTE;41254
BELO VALE;41270
BERILO;41297
BERIZAL;41726
BERTÓPOLIS;41319
BETIM;41335
BIAS FORTES;41351
BICAS;41378
BIQUINHAS;41394
BOA ESPERANÇA;41416
BOCAIÚVA;41459
BOCAINA DE MINAS;41432
BOM DESPACHO;41475
BOM JARDIM DE MINAS;41491
BOM JESUS DA PENHA;41513
BOM JESUS DO AMPARO;41530
BOM JESUS DO GALHO;41556
BOM REPOUSO;41572
BOM SUCESSO;41599
BONFIM;41610
BONFINÓPOLIS DE MINAS;41637
BONITO DE MINAS;41742
BORDA DA MATA;41653
BOTELHOS;41670
BOTUMIRIM;41696
BRÁS PIRES;41734
BRAÚNAS;41750
BRASÍLIA DE MINAS;41718
BRASÓPOLIS;41777
BRASILÂNDIA DE MINAS;40045
BRUMADINHO;41793
BUENÓPOLIS;41831
BUENO BRANDÃO;41815
BUGRE;41769
BURITIS;41858
BURITIZEIRO;41874
CÁSSIA;43010
CÓRREGO DANTA;43958
CÓRREGO DO BOM JESUS;43974
CÓRREGO FUNDO;41947
CÓRREGO NOVO;43990
CÔNEGO MARINHO;41904
CABECEIRA GRANDE;41785
