ABADIA DOS DOURADOS;40010;5844
ABAETE;40037;18486
ABRE CAMPO;40053;10125
ACAIACA;40070;3647
ACUCENA;40096;8883
AGUA BOA;40118;12397
AGUA COMPRIDA;40134;2506
AGUANIL;40150;4081
AGUAS FORMOSAS;40177;14949
AGUAS VERMELHAS;40193;10489
AIMORES;40215;19517
AIURUOCA;40231;5203
ALAGOA;40258;2550
ALBERTINA;40274;2730
ALEM PARAIBA;40290;28302
ALFENAS;40312;58576
ALFREDO VASCONCELOS;40002;5440
ALMENARA;40339;29369
ALPERCATA;40355;6632
ALPINOPOLIS;40371;15264
ALTEROSA;40398;11951
ALTO CAPARAO;41661;4186
ALTO JEQUITIBA;50695;7011
ALTO RIO DOCE;40410;10357
ALVARENGA;40436;4430
ALVINOPOLIS;40452;13345
ALVORADA DE MINAS;40479;4267
AMPARO DO SERRA;40495;4731
ANDRADAS;40517;29128
ANDRELANDIA;40550;9764
ANGELANDIA;41688;6746
ANTONIO CARLOS;40576;9578
ANTONIO DIAS;40592;9102
ANTONIO PRADO DE MINAS;40614;1941
ARACAI;40630;2807
ARACITABA;40657;2406
ARACUAI;40673;28354
ARAGUARI;40690;87433
ARANTINA;40711;2547
ARAPONGA;40738;6803
ARAPORA;40029;5691
ARAPUA;40754;3201
ARAUJOS;40770;6507
ARAXA;40797;75628
ARCEBURGO;40819;7345
ARCOS;40835;30924
AREADO;40851;11607
ARGIRITA;40878;2879
ARICANDUVA;41700;4652
ARINOS;40894;13813
ASTOLFO DUTRA;40916;11033
ATALEIA;40932;11940
AUGUSTO DE LIMA;40959;4431
BAEPENDI;40975;15582
BALDIM;40991;7009
BAMBUI;41017;19227
BANDEIRA DO SUL;41050;5334
BANDEIRA;41033;4544
BARAO DE COCAIS;41076;23225
BARAO DE MONTE ALTO;41092;5652
BARBACENA;41114;97946
BARRA LONGA;41130;5694
BARROSO;41173;17182
BELA VISTA DE MINAS;41190;7716
BELMIRO BRAGA;41211;3099
BELO HORIZONTE;41238;1927456
BELO ORIENTE;41254;19643
BELO VALE;41270;7386
BERILO;41297;9689
BERIZAL;41726;3850
BERTOPOLIS;41319;4151
BETIM;41335;278233
BIAS FORTES;41351;3695
BICAS;41378;11571
BIQUINHAS;41394;3098
BOA ESPERANCA;41416;31445
BOCAINA DE MINAS;41432;4607
BOCAIUVA;41459;35876
BOM DESPACHO;41475;37771
BOM JARDIM DE MINAS;41491;5874
BOM JESUS DA PENHA;41513;3388
BOM JESUS DO AMPARO;41530;4883
BOM JESUS DO GALHO;41556;12333
BOM REPOUSO;41572;8666
BOM SUCESSO;41599;15353
BONFIM;41610;6689
BONFINOPOLIS DE MINAS;41637;5147
BONITO DE MINAS;41742;7839
BORDA DA MATA;41653;13228
BOTELHOS;41670;12716
BOTUMIRIM;41696;5400
BRAS PIRES;41734;4519
BRASILANDIA DE MINAS;40045;11513
BRASILIA DE MINAS;41718;26616
BRASOPOLIS;41777;13040
BRAUNAS;41750;4385
BRUMADINHO;41793;27444
BUENO BRANDAO;41815;8901
BUENOPOLIS;41831;8692
BUGRE;41769;4374
BURITIS;41858;18426
BURITIZEIRO;41874;19715
CABECEIRA GRANDE;41785;5595
CABO VERDE;41890;9834
CACHOEIRA DA PRATA;41912;3529
CACHOEIRA DE MINAS;41939;9245
CACHOEIRA DE PAJEU;40533;7091
CACHOEIRA DOURADA;41955;2207
CAETANOPOLIS;41971;8247
CAETE;41998;33606
CAIANA;42013;4008
CAJURI;42030;4042
CALDAS;42056;11097
CAMACHO;42072;3589
CAMANDUCAIA;42099;16972
CAMBUI;42110;20952
CAMBUQUIRA;42137;10279
CAMPANARIO;42153;3483
CAMPANHA;42170;12108
CAMPESTRE;42196;16407
CAMPINA VERDE;42218;15618
CAMPO AZUL;41807;4017
CAMPO BELO;42234;39725
CAMPO DO MEIO;42250;10311
CAMPO FLORIDO;42277;5954
CAMPOS ALTOS;42293;10511
CAMPOS GERAIS;42315;20812
CANA VERDE;42374;4773
CANAA;42331;4219
CANAPOLIS;42358;9303
CANDEIAS;42390;12073
CANTAGALO;41823;3941
CAPARAO;42412;4456
CAPELA NOVA;42439;4356
CAPELINHA;42455;26928
CAPETINGA;42471;6021
CAPIM BRANCO;42498;7823
CAPINOPOLIS;42510;11381
CAPITAO ANDRADE;40061;4239
CAPITAO ENEAS;42536;12358
CAPITOLIO;42552;7439
CAPUTIRA;42579;7973
CARAI;42595;15323
CARANAIBA;42617;3144
CARANDAI;42633;19808
CARANGOLA;42650;25399
CARATINGA;42676;61456
CARBONITA;42692;8095
CAREACU;42714;4996
CARLOS CHAGAS;42730;16806
CARMESIA;42757;2269
CARMO DA CACHOEIRA;42773;9881
CARMO DA MATA;42790;9799
CARMO DE MINAS;42811;9871
CARMO DO CAJURU;42838;17599
CARMO DO PARANAIBA;42854;22038
CARMO DO RIO CLARO;42870;15713
CARMOPOLIS DE MINAS;42897;13029
CARNEIRINHO;40088;7760
CARRANCAS;42919;3280
CARVALHOPOLIS;42935;3007
CARVALHOS;42951;4076
CASA GRANDE;42978;2538
CASCALHO RICO;42994;3179
CASSIA;43010;14337
CATAGUASES;43052;53916
CATAS ALTAS DA NORUEGA;43079;3685
CATAS ALTAS;41840;4622
CATUJI;40100;7852
CATUTI;41866;4301
CAXAMBU;43095;18158
CEDRO DO ABAETE;43117;1287
CENTRAL DE MINAS;43133;6242
CENTRALINA;43150;7321
CHACARA;43176;2572
CHALE;43192;5047
CHAPADA DO NORTE;43214;10223
CHAPADA GAUCHA;41882;8437
CHIADOR;43230;2666
CIPOTANEA;43257;5854
CLARAVAL;43273;4801
CLARO DOS POCOES;43290;6877
CLAUDIO;43311;20161
COIMBRA;43338;6030
COLUNA;43354;7195
COMENDADOR GOMES;43370;2635
COMERCINHO;43397;6950
CONCEICAO DA APARECIDA;43419;8061
CONCEICAO DA BARRA DE MINAS;43036;3610
CONCEICAO DAS ALAGOAS;43451;19553
CONCEICAO DAS PEDRAS;43435;2684
CONCEICAO DE IPANEMA;43478;3895
CONCEICAO DO MATO DENTRO;43494;15846
CONCEICAO DO PARA;43516;5110
CONCEICAO DO RIO VERDE;43532;10443
CONCEICAO DOS OUROS;43559;7981
CONEGO MARINHO;41904;5868
CONFINS;41920;6126
CONGONHAL;43575;8675
